id,name,error_tries,discovering_tries,uuid,timestamp,timestamp_s,duration,host,source,current_status,outgoing,incoming,degree,pages
24855,axchaf3cb7juw5tw2jwuhkto5g7xihzl7rz5obg4xfevz66my2eq.b32.i2p,1,157,8dc195e6-7e07-11e9-af84-0800270851f6,2019-07-18 02:06:18,2019-07-25 00:59:46,10013.466666666667,i2pProjectM3,FLOODFILL,FINISHED,0,0,0,1
24877,pknyysvgjobbc2nazcv27ivhen3nujrywvw2vfbv5uqytcqw3umq.b32.i2p,1,463,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-18 02:07:01,2019-08-08 08:45:11,30638.166666666668,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,18
24996,vw6nfi6sg7rxmngqedzvecgwcsex7gmy4vutu2gkr7vztwrfzqbq.b32.i2p,1,253,fc20deb4-7d50-11e9-9629-08002702eafd,2019-07-18 06:55:05,2019-08-13 08:37:54,37542.816666666666,i2pProjectM1,FLOODFILL,FINISHED,0,0,0,1
25184,xrdc2qc7quhumhglpbcuiqxr42nuffv4xj4a73jbr4ygepitibqq.b32.i2p,1,44,8dc195e6-7e07-11e9-af84-0800270851f6,2019-07-18 19:36:19,2019-07-20 16:42:44,2706.4166666666665,i2pProjectM3,FLOODFILL,FINISHED,10,0,0,30
25212,53vbwhswcoms6lptmi2dv6mlv6ew7qk2dovkzccjjjrxe4nippzq.b32.i2p,1,250,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-18 21:41:03,2019-07-30 15:44:08,16923.083333333332,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,28
25257,qv4bvgkhvmym4pu6dx3af3dabfrtslz5j5qy2zeomwk5gwg3uqaa.b32.i2p,1,1,8dc195e6-7e07-11e9-af84-0800270851f6,2019-07-19 01:00:28,2019-07-19 09:41:44,521.2666666666667,i2pProjectM3,FLOODFILL,FINISHED,0,0,0,220
25262,hhffnzlqo5ks5fd6feymbh6armjqnfup65y7trpw6ens5vhy3daq.b32.i2p,1,247,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-19 01:15:29,2019-07-30 12:56:25,16540.933333333334,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,2
25325,nkcc7pxlqibby7x7lsn3srrfyamdk4yo7drmzzozszl7ql6rmt7q.b32.i2p,1,249,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-19 02:05:09,2019-07-30 16:03:34,16678.416666666668,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,1
25351,cmwzc3kselyxfhafnncoe3pp3eqt4uszrdovkdalu7i5b4rk5ajq.b32.i2p,1,1,8dc195e6-7e07-11e9-af84-0800270851f6,2019-07-19 02:10:40,2019-07-19 02:36:36,25.933333333333334,i2pProjectM3,FLOODFILL,FINISHED,0,0,0,1
25520,3xec4b3sx6b3lrvhsqbpaemriqrif47c3civppegggxsj35iagxa.b32.i2p,1,394,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-19 09:41:02,2019-08-06 13:45:36,26164.566666666666,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,27
25664,tq75hg7qdgf6jwceellfpntafaijjme42kcy2cji7ioaspegohra.b32.i2p,1,235,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-19 19:52:24,2019-07-30 19:07:37,15795.216666666667,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,148
25692,vl5jmkhwrlbnodtcsx34r7n7kicmf6wfnbv3ganmxozdfjlqfyrq.b32.i2p,2,611,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-19 23:46:50,2019-08-16 23:30:49,40303.98333333333,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,190
25696,vfx2p4ki5khkswld2rcvkpevbgbn6ubho37qkkbhhmqrvgvpud2a.b32.i2p,1,489,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-20 00:06:40,2019-08-11 11:49:16,32382.6,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,28
25706,fwo4z3av32asmkit263ywbak37fs3wrdtk73dhqig633akxaspoq.b32.i2p,1,226,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-20 00:50:27,2019-07-30 15:48:57,15298.5,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,28
25717,lcuu6xdnn24weje2qa5nkzpdbkn3uslkomrcbfomwtouoyp77esa.b32.i2p,1,36,91f2d422-7e07-11e9-8770-080027530170,2019-07-20 01:25:02,2019-08-03 23:30:51,21485.816666666666,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,70
25792,bzznfzwjjeiwzrsy6xxlsahswldtq2jcfydq7qhopjctt327qlna.b32.i2p,1,2,91f2d422-7e07-11e9-8770-080027530170,2019-07-20 02:25:05,2019-08-02 12:18:27,19313.366666666665,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,1
25799,yikb4avaxikmtcwhlrn34uc4hffl5f6ovdvytgonxec7r3sf56sa.b32.i2p,1,4,fc20deb4-7d50-11e9-9629-08002702eafd,2019-07-20 02:35:07,2019-08-02 16:07:01,19531.9,i2pProjectM1,FLOODFILL,FINISHED,0,0,0,28
25824,zjrje2ffz6qsdzq3ptkj2imstive3az63tetgfc6lt5fss4ytpzq.b32.i2p,1,7,fc20deb4-7d50-11e9-9629-08002702eafd,2019-07-20 03:40:03,2019-08-02 20:16:24,19716.35,i2pProjectM1,FLOODFILL,FINISHED,0,0,0,28
25835,gndalsmehqpp4sccxnfsgqrxlbzrd4bpzhpuwymqp7stw2mibhxa.b32.i2p,1,4,91f2d422-7e07-11e9-8770-080027530170,2019-07-20 04:15:02,2019-08-02 16:03:51,19428.816666666666,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,15
25900,deic2twnqvpeksyrheczheiiyjrfotgfkzyk4duggyqo4hz2hnpa.b32.i2p,1,249,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-20 07:15:28,2019-07-31 20:08:28,16613.0,i2pProjectM2,FLOODFILL,FINISHED,13,0,0,29
