Label,Source,Target
724,812,2304
725,812,3075
726,812,2954
727,812,1009
728,812,1554
729,812,2536
730,812,510
731,812,2124
732,812,2734
733,812,817
734,812,2938
735,812,6005
736,812,6040
737,812,904
738,812,6178
739,812,6006
740,812,6041
741,812,2766
742,812,366
743,812,3792
744,812,2855
745,812,6008
746,812,6042
747,812,1283
748,812,2236
749,812,6012
750,812,6043
751,812,6011
752,812,5942
753,812,1201
754,812,1243
755,812,3786
756,812,3751
757,812,3929
758,812,181
759,812,827
760,812,899
761,812,1430
762,812,1471
763,812,6017
764,812,6044
765,812,6018
766,812,6045
767,812,3285
768,812,2524
769,812,1381
770,812,3605
771,812,3014
772,812,2098
773,812,69
774,812,3114
775,812,2984
776,812,2373
777,812,3053
778,812,3621
779,812,586
780,812,218
781,812,3926
782,812,2986
783,812,2212
784,812,3137
785,812,2231
786,812,1015
787,812,2378
788,812,244
789,812,6047
790,812,6048
791,812,6028
792,812,6049
793,812,1141
794,812,2691
795,812,1289
796,812,598
797,812,6029
798,812,6179
799,812,6030
800,812,6050
801,812,557
802,812,6051
803,812,1396
804,812,2797
805,812,6031
806,812,6052
807,812,1773
808,812,2899
809,812,110
810,812,277
811,812,309
812,812,3202
813,812,1864
814,812,160
815,812,1038
816,812,2198
817,812,6053
818,812,6054
819,812,6055
820,812,6056
821,812,1035
822,812,2156
823,812,1683
824,812,989
825,812,6057
826,812,6058
827,812,1445
828,812,2177
829,812,1497
830,812,6059
831,812,1666
832,812,3548
833,812,630
834,812,909
835,812,1216
836,812,228
837,812,469
838,812,2922
839,812,6060
840,812,6061
841,812,3157
842,812,1475
843,812,2242
844,812,1506
845,812,691
846,812,73
847,812,6062
848,812,6063
849,812,781
850,812,3844
851,812,593
852,812,3680
853,812,1851
854,812,620
855,812,6064
856,812,5131
857,812,2468
858,812,134
859,812,2665
860,812,3259
861,812,950
862,812,1874
863,812,151
864,812,3279
865,812,3076
866,812,1770
867,812,2210
868,812,6065
869,812,6066
870,812,2593
871,812,2264
872,812,718
873,812,501
874,812,6180
875,812,4694
876,812,2965
877,812,644
878,812,512
879,812,3752
880,812,1399
881,812,3480
882,812,1184
883,812,1742
884,812,2358
885,812,164
886,812,2822
887,812,3718
888,812,313
889,812,6067
890,812,6068
891,812,6069
892,812,6070
893,812,3394
894,812,587
895,812,6071
896,812,4432
897,812,6181
898,812,6182
899,812,2152
900,812,1839
901,812,2701
902,812,1476
903,812,1307
904,812,2127
905,812,1861
906,812,5709
907,812,3341
908,812,6072
909,812,6073
910,812,6074
911,812,5667
912,812,2211
913,812,2775
914,812,6075
915,812,5490
916,812,3101
917,812,6076
918,812,6077
919,812,6078
920,812,424
921,812,172
922,812,3516
923,812,2652
924,812,556
925,812,3519
926,812,536
927,812,1097
928,812,3571
929,812,2768
930,812,6079
931,812,6080
932,812,6183
933,812,4950
934,812,6081
935,812,6082
936,812,661
937,812,533
938,812,6083
939,812,2276
940,812,392
941,812,1358
942,812,3538
943,812,2485
944,812,2737
945,812,6084
946,812,4822
947,812,6085
948,812,6086
949,812,1559
950,812,2851
951,812,919
952,812,578
953,812,946
954,812,3
955,812,6087
956,812,6088
957,812,1165
958,812,3378
959,812,3554
960,812,642
961,812,1512
962,812,1384
963,812,1548
964,812,272
965,812,2526
966,812,2699
967,812,98
968,812,2282
969,812,1029
970,812,2931
971,812,6184
972,812,6185
973,812,2279
974,812,3563
975,812,1383
976,812,6089
977,812,2441
978,812,1615
979,812,2813
980,812,5251
981,812,2903
982,812,2489
983,812,66
984,812,3804
985,812,3924
986,812,3212
987,812,1433
988,812,3374
989,812,3329
990,812,107
991,812,1045
992,812,3332
993,812,367
994,812,3135
995,812,3492
996,812,2185
997,812,767
998,812,2101
999,812,3790
1000,812,490
1001,812,6090
1002,812,6091
1003,812,2477
1004,812,3098
1005,812,120
1006,812,3189
1007,812,6092
1008,812,6093
1009,812,924
1010,812,3669
1011,812,3369
1012,812,3144
1013,812,2597
1014,812,1278
1015,812,3257
1016,812,2716
1017,812,2470
1018,812,1233
1019,812,1797
1020,812,85
1021,812,1867
1022,812,6094
1023,812,1631
1024,812,1703
1025,812,467
1026,812,1562
1027,812,1336
1028,812,1942
1029,812,472
1030,812,986
1031,812,1356
1032,812,2221
1033,812,3233
1034,812,2947
1035,812,906
1036,812,6095
1037,812,1088
1038,812,1291
1039,812,3003
1040,812,488
1041,812,3113
1042,812,2723
1043,812,437
1044,812,471
1045,812,6096
1046,812,4545
1047,812,6097
1048,812,6098
1049,812,3476
1050,812,1116
1051,812,355
1052,812,3749
1053,812,3643
1054,812,2201
1055,812,678
1056,812,6101
1057,812,3514
1058,812,3090
1059,812,1641
1060,812,2206
1061,812,2887
1062,812,2391
1063,812,6186
1064,812,6187
1065,812,3585
1066,812,2009
1067,812,3269
1068,812,2498
1069,812,712
1070,812,2996
1071,812,6102
1072,812,6103
1073,812,1206
1074,812,3553
1075,812,1441
1076,812,869
1077,812,354
1078,812,2298
1079,812,144
1080,812,1782
1081,812,6188
1082,812,6189
1083,812,3443
1084,812,2963
1085,812,6190
1086,812,5203
1087,812,2071
1088,812,3344
1089,812,2726
1090,812,600
1091,812,2964
1092,812,2860
1093,812,6104
1094,812,6105
1095,812,3847
1096,812,3649
1097,812,2828
1098,812,571
1099,812,103
1100,812,1091
1101,812,6106
1102,812,6107
1103,812,1542
1104,812,770
1105,812,3693
1106,812,2584
1107,812,1925
1108,812,1878
1109,812,943
1110,812,342
1111,812,3375
1112,812,566
1113,812,5998
1114,812,6108
1115,812,2920
1116,812,3922
2254,860,3465
2255,860,134
2256,860,3101
2257,860,712
2258,860,1393
2259,860,305
2260,860,1542
2261,860,1356
2262,860,6731
2263,860,2515
2264,860,718
2265,860,2659
2266,860,66
2267,860,6732
